product_id,category_id,category_name,product
8721,691,Tablets,"Samsung Galaxy Tab A11+ Wi-Fi Tablet 11"" – Grey | SM-X230NZA"
8719,691,Tablets,"TCL TAB 10L Gen 4 10.1"" Tablet 4g 64gb - Black | 8483A1-2ALC"
8717,767,Mobile Phones,Xiaomi 15 512GB 5G Smartphone - Green | MZB0ITWEU
8715,767,Mobile Phones,Xiaomi Redmi Note 14 - Midnight Black | MZB0J01EU
8713,691,Tablets,"Redmi Pad 2+ 8gb/256gb 11"" - Graphite Gray | VHU5973EU"
8550,767,Mobile Phones,Doro Leva E22 Flip Phone | Black/White
8359,698,Dishwashers,Electrolux 13 Place Dishwasher | Stainless Steel | ESA17210S
8279,767,Mobile Phones,Honor X8a | 6GB | 128GB | 4G | Titanium Silver 5109APFE
8275,767,Mobile Phones,Xiaomi Redmi Note 13 Pro | 8GB | 256GB | 5G MZB0FD2EN Purple
8273,767,Mobile Phones,Xiaomi Redmi Note 13 Pro | 8GB | 256GB | 5G | Midnight Black
8092,1419,Home and Garden,Bosch Cordless EasyGrassCut 18-26 | 06008C1C71
8060,766,Corded & Cordless,Emporia Big-button Telephone with Boost Button for Receiver 
6238,766,Corded & Cordless,DORO 5551 ds
6247,766,Corded & Cordless,DORO 5543 ds
5688,767,Mobile Phones,Smartphone Noa N3
5682,767,Mobile Phones,NOA Hammer 2019
800072,766,Corded & Cordless,Emporia ACTIVEglam V221-4G_001_UK 4G Clamshell Mobile Phone 
800159,877,TV AND AUDIO,One For All SV9360 Digital Amplified Indoor Aerial (45db) DV
800218,766,Corded & Cordless,SWISSVOICE S510-C ATL1426526 Smartphone for Seniors with Cha
800219,766,Corded & Cordless,Swissvoice S510-C ATL1427462 Smartphone for Seniors with Cha
