product_id,brand,model,name,current_price,correct_price,note
8692,Hotpoint,H2IHD526BUK,BI Full Size Dishwasher 14 Place Set 9.5 L 9 Progs Model Code H2IHD526BUK,449,,
7528,Indesit,DI9E 2B10 UK,BI Slimline Dishwasher 10 Place Set 11.5 L 5 Progs Model Code IN2IE10CS80UK,399,,
7275,Beko,DVS04X20W,Beko White Slimline Dishwasher DVS04X20W,329,,
990001,Bosch,SMS2HAW00G,Bosch SMS2HAW00G Freestanding Dishwasher,399,,PLACEHOLDER — needs price
990002,Bosch,SMS4HKW00G,Bosch SMS4HKW00G Freestanding Dishwasher,449,,PLACEHOLDER — needs price
8359,Electrolux,ESA17210SX,Electrolux 13 Place Dishwasher | Stainless Steel | ESA17210SX,519,,
8695,Electrolux,KEAF7200L,Electrolux 13 Place Integrated Dishwasher KEAF7200L,399,,
8701,Electrolux,EES48410L,Electrolux 14 Place 60cm Integrated Dishwasher | EES48410L,599,,
8703,Electrolux,EES47410L,Electrolux 60cm 13 Place Integrated Dishwasher | EES47410L,549,,
8708,Electrolux,ESA17210SW,Electrolux Freestanding Dishwasher - White | ESA17210SW,449,,
7271,Hotpoint,H2FHL626UK,Hotpoint Freestanding 14 Place Settings Dishwasher - White | H2FHL626UK,399,,
5961,Hotpoint,HFC3C26WCBUK,Hotpoint HFC3C26WCBUK,499.00,,
7261,Indesit,D2FHK26 S UK,"Indesit Dishwasher: full size, silver colour - D2FHK26 S UK",429,,
7263,Indesit,D2FHK26 UK,"Indesit Dishwasher: full size, white colour - D2FHK26 UK",379,,
7524,Indesit,DIO 3T131 FE UK,"INDESIT Integrated dishwasher: full size, white colour - DIO 3T131 FE UK",449,,
7520,Nordmende,DF63,NORDMENDE 12 PLACE 60CM FULLY INTEGRATED DISHWASHER DF63,399,,
8753,Nordmende,DSSN63IX,NordMende 12 Place Semi Integrated 60cm Dishwasher - Stainless Steel | DSSN63IX,589,,
990003,Nordmende,DW64X2WH,Nordmende DW64X2WH Freestanding Dishwasher,349,,PLACEHOLDER — needs price
5719,Nordmende,DW67BL,Nordmende DW67BL,399,,
5965,Nordmende,DW67SL,Nordmende DW67SL,399,,
7518,Powerpoint,P24510M6BL,PowerPoint 45cm 10 Place Dishwasher Black | M24510M6BL,329,,
