old_path,new_path,type,title
/product-category/23-to-32/,/category/23-to-32/,category,"23"" to 32"""
/product-category/39-to-55/,/category/39-to-55/,category,"39"" to 55"""
/product-category/55-and-above/,/category/55-and-above/,category,"55"" and above"
/product-category/accessories/,/category/accessories/,category,Accessories
/product-category/all-products/,/category/all-products/,category,All Products
/product-category/integrated-refrigeration/,/category/american-fridge-freezers/,category,American
/product-category/audio-radio/,/category/audio-and-radio/,category,Audio & Radio
/product-category/bar-stools-chairs-chairs/,/category/chairs-bar-stools-and-chairs/,category,Bar Stools & Chairs
/product-category/bar-stools-chairs/,/category/furniture-bar-stools-and-chairs/,category,Bar Stools & Chairs
/product-category/battery-drill/,/category/battery-drill/,category,Battery Drill
/product-category/bbq/,/category/bbq/,category,BBQ
/product-category/bedroom-2/,/category/bedroom/,category,Bedroom
/product-category/bedroom/,/category/bedroom-furniture/,category,Bedroom Furniture
/product-category/beds/,/category/beds/,category,Beds
/product-category/bluetooth-speakers/,/category/bluetooth-speakers/,category,Bluetooth Speakers
/product-category/box-freezers/,/category/box-freezers/,category,Box Freezers
/product-category/brands/,/category/brands/,category,Brands
/product-category/build-in-double-oven/,/category/build-in-double-oven/,category,Build in Double Oven
/product-category/built-in-single-oven/,/category/built-in-single-oven/,category,Built In Single Oven
/product-category/bunk-beds-bedroom-2/,/category/bedroom-bunk-beds/,category,Bunk Beds
/product-category/bunk-beds/,/category/bedroom-furniture-bunk-beds/,category,Bunk Beds
/product-category/chairs/,/category/chairs/,category,Chairs
/product-category/clock-radios/,/category/clock-radios/,category,Clock Radios
/product-category/coffee-machines/,/category/coffee-machines/,category,Coffee Machines
/product-category/coffee-tables-living-room/,/category/living-room-coffee-tables/,category,Coffee Tables
/product-category/coffee-tables/,/category/furniture-coffee-tables/,category,Coffee Tables
/product-category/cooking-2/,/category/cooking/,category,COOKING
/product-category/cooking/,/category/home-appliances-cooking/,category,Cooking
/product-category/cookware/,/category/cookware/,category,Cookware
/product-category/corded-cordless/,/category/landline-and-cordless-phones/,category,Landline & Cordless Phones
/product-category/dashcam/,/category/dash-cams/,category,Dash Cams
/product-category/dehumidifier/,/category/dehumidifier/,category,Dehumidifier
/product-category/dining/,/category/dining/,category,Dining
/product-category/dining-chairs/,/category/dining-chairs/,category,Dining Chairs
/product-category/dining-room/,/category/dining-room/,category,Dining Room
/product-category/dining-tables/,/category/dining-tables/,category,Dining Tables
/product-category/dishwashers/,/category/dishwashers/,category,Dishwashers
/product-category/double-beds-bedroom-2/,/category/bedroom-double-beds/,category,Double beds
/product-category/double-beds/,/category/bedroom-furniture-double-beds/,category,Double beds
/product-category/electric-hob/,/category/electric-hob/,category,Electric Hob
/product-category/fans/,/category/fans/,category,Fans
/product-category/food-preparation/,/category/small-appliances-food-preparation/,category,Food Preparation
/product-category/food-preparation-2/,/category/small-appliances-food-preparation-2/,category,Food Preparation
