product_id,name,reason
8656,Beko Freestanding Tall Frost Free Freezer FFP4671W,cleared fridges section — rebuilding from stock list
8653,Nordmende  60cm Freestanding 186cm Tall Larder Fridge Real Stainless Steel Code: RTL400RIX,cleared fridges section — rebuilding from stock list
8641,Indesit INK25322SW4UK Total No Frost 70/30 Fridge Freezer with Fresh Space+ - White,cleared fridges section — rebuilding from stock list
8638,Indesit INK2 5322S 4UK Total No Frost 70/30 Fridge Freezer with Fresh Space+ - Silver,cleared fridges section — rebuilding from stock list
8635,Hotpoint Dual No Frost 70/30 Fridge Freezer - Titanium Inox | HPK2 6493 XP5UK,cleared fridges section — rebuilding from stock list
8629,Beko American Style Fridge Freezer GNE460520DVPX,cleared fridges section — rebuilding from stock list
8396,Beko American Style Fridge Freezer ASL1442VPS,cleared fridges section — rebuilding from stock list
8364,Hotpoint Freestanding Fridge Freezer HBD5517WUK1 White,cleared fridges section — rebuilding from stock list
8355,Whirlpool fridge freezer: frost free - W84BE 72 X UK 2,cleared fridges section — rebuilding from stock list
8334,Candy 185L Freestanding Fridge Freezer - White | CCH1S513EWK,cleared fridges section — rebuilding from stock list
8330,INDESIT FREESTANDING FRIDE FREEZER - IB55732SUK,cleared fridges section — rebuilding from stock list
8153,ADAMO SC50 Table Top Fridge - Black with Glass Door,cleared fridges section — rebuilding from stock list
8151,Adamo Wine Cooler JC50 ds,cleared fridges section — rebuilding from stock list
8149,ADAMO BL50C Table Top Fridge - White,cleared fridges section — rebuilding from stock list
8109,HAIER 222/119 LITRE 185X60CM FROST FREE FRIDGE FREEZER - GRAPHITE HDW3618DNPD,cleared fridges section — rebuilding from stock list
8105,Haier 377L 2D 60 Series 3 No Frost Freestanding Fridge Freezer - Black | HDW3620DNPD,cleared fridges section — rebuilding from stock list
8069,TCL AMERICAN FRIDGE FREEZER TOTAL FROST FREE BLACK RP320FBE0UK,cleared fridges section — rebuilding from stock list
7718,Beko BSFF3682 Integrated Undercounter Freezer Fixed Hinge,cleared fridges section — rebuilding from stock list
7698,Nordmende Larder Fridge - White | RTL398RIX,cleared fridges section — rebuilding from stock list
7695,Nordmende 60cm Frost Free Larder Freezer | Stainless Steel | RTF394NFRIX,cleared fridges section — rebuilding from stock list
7684,Nordmende 60cm Freestanding Tall Freezer RTF394NFWH,cleared fridges section — rebuilding from stock list
7681,Nordmende Larder Fridge - White | RTL399WH,cleared fridges section — rebuilding from stock list
7678,Whirlpool fridge freezer - W5821E W UK,cleared fridges section — rebuilding from stock list
7512,Hotpoint HS 18011 UK Integrated Fridge,cleared fridges section — rebuilding from stock list
7510,Electrolux 204L Integrated Freezer - White | LUT6NF18C,cleared fridges section — rebuilding from stock list
7506,Hotpoint integrated upright freezer HF1801EF2,cleared fridges section — rebuilding from stock list
7504,NORDMENDE 177CM TALL INTEGRATED FREEZER - NO FROST RITF395ANF,cleared fridges section — rebuilding from stock list
7502,Electrolux Integrated Larder Fridge | LRB2DE18C,cleared fridges section — rebuilding from stock list
7500,Nordmende Tall Integrated Larder Fridge - White | RITL398,cleared fridges section — rebuilding from stock list
7496,INDESIT Integrated fridge - IF A1.UK 1,cleared fridges section — rebuilding from stock list
7494,BEKO BLS4682 Integrated Undercounter Fridge - Fixed Hinge,cleared fridges section — rebuilding from stock list
7489,Electrolux Integrated fridge freezer | LNT3LF18S,cleared fridges section — rebuilding from stock list
7482,Whirlpool ART 6550 SF1 Built in Fridge Freezer 273L,cleared fridges section — rebuilding from stock list
7479,Hotpoint HBC18 5050 F1 Built-in Frost Free Fridge Freezer,cleared fridges section — rebuilding from stock list
